L,a,b,hex_srgb
0.0,0.0,0.0,#000000
0.0625,2.0,-3.375,#020009
0.0625,3.25,-5.5,#02000D
0.0625,4.5,-7.625,#030011
0.0625,6.0,-10.125,#040015
0.0625,7.625,-12.875,#050019
0.125,11.25,-18.375,#080020
0.125,13.875,-21.75,#0A0024
0.125,17.125,-25.25,#0C0029
0.1875,24.0,-31.75,#0F0031
0.1875,28.625,-35.125,#120036
0.25,2.25,-0.75,#060003
0.25,36.0,-39.875,#15003C
0.3125,3.5,-2.625,#070008
0.3125,6.25,-7.25,#090011
0.3125,9.5,-12.375,#0C0019
0.3125,11.5,-15.375,#0D001D
0.3125,44.0,-45.625,#180044
0.375,51.125,-50.25,#1B004B
0.4375,16.0,-20.625,#110023
0.5,4.25,0.625,#0D0000
0.5,6.0,-3.25,#0D000A
0.5,9.125,-8.125,#0F0013
0.5,19.25,-23.75,#130027
0.5,23.0,-27.375,#14002C
0.5625,56.25,-54.125,#1C0051
0.5625,62.625,-58.0,#200057
0.5625,70.875,-63.0,#24005E
0.625,11.75,-11.125,#120018
0.625,13.75,-14.375,#13001C
0.6875,79.875,-69.0,#280067
0.75,6.375,1.125,#120000
0.8125,7.625,-0.875,#130005
0.8125,9.125,-3.125,#14000B
0.8125,85.5,-72.875,#2B006D
0.875,10.75,-5.625,#150010
0.875,12.5,-8.375,#160015
0.875,14.5,-11.625,#170019
0.875,19.25,-18.875,#180022
0.9375,16.75,-15.0,#18001D
0.9375,22.5,-22.125,#1A0026
1.0,8.5,1.5,#170000
1.0,90.75,-76.625,#2D0073
1.0625,9.875,-0.625,#170006
1.0625,11.375,-2.875,#18000B
1.0625,26.375,-25.5,#1C002B
1.0625,31.0,-29.375,#1D0030
1.125,13.25,-5.5,#190011
1.125,15.25,-8.75,#1A0016
1.125,37.875,-35.0,#200038
1.125,43.375,-39.625,#21003E
1.125,49.375,-44.75,#220045
1.1875,17.5,-12.0,#1B001A
1.3125,12.25,-0.25,#1B0006
1.375,14.0,-2.625,#1C000C
1.375,16.0,-5.75,#1D0012
1.375,21.875,-15.75,#1E001F
1.375,24.75,-20.25,#1E0025
1.375,29.875,-32.5,#190035
1.375,57.125,-49.5,#27004C
1.4375,18.25,-8.875,#1E0017
1.4375,28.75,-23.5,#200029
1.5,101.125,-81.75,#37007D
1.5,104.875,-86.5,#340084
1.5625,12.5,2.625,#1D0000
1.625,68.0,-57.0,#2C0058
1.6875,22.0,-11.375,#21001A
1.8125,15.25,3.0,#210000
1.875,17.125,0.5,#220006
1.875,52.375,-55.625,#130056
1.9375,19.0,-2.0,#23000D
1.9375,38.0,-29.0,#270031
2.0,21.0,-5.125,#230013
2.0,23.375,-8.5,#240017
2.0625,34.75,-24.375,#27002C
2.0625,52.375,-42.125,#2B0044
2.0625,59.25,-60.125,#17005D
2.0625,95.125,-81.625,#2D007E
2.125,26.125,-12.125,#25001C
2.125,28.75,-15.875,#260021
2.125,31.625,-19.875,#270026
2.125,109.375,-90.5,#36008C
2.1875,18.25,3.625,#250000
2.1875,73.5,-68.875,#20006B
2.25,20.375,1.0,#260007
2.25,65.25,-64.125,#1A0064
2.25,74.125,-59.75,#33005D
2.3125,22.625,-2.375,#26000F
2.3125,47.875,-36.5,#2C003C
2.375,24.875,-5.625,#270014
